level,normalised_peak_pressure
0.000000000000000000e+00,1.000000000000000000e+00
1.000000000000000000e+00,5.315095953981359145e-01
2.000000000000000000e+00,2.076707032880752146e-01
3.000000000000000000e+00,8.652817583746229280e-02
4.000000000000000000e+00,3.157488376124427398e-02
5.000000000000000000e+00,1.098403399506557923e-02
6.000000000000000000e+00,3.953892302912861111e-03
